id;genero;nom_candidato
1;masculino  ;Martins                
2;masculino  ;Carvalho               
3;feminino;Rocha                  
4;masculino  ;Cunha                  
5;feminino;Costa                  
6;masculino  ;Cardoso                
7;masculino  ;Almeida                
8;feminino;Oliveira               
9;masculino  ;Castro                 
10;masculino  ;Fernandes              
11;feminino;Melo                   
12;feminino;Martins                
13;feminino;Castro                 
14;masculino  ;Ribeiro                
15;feminino;Souza                  
16;masculino  ;Azevedo                
17;masculino  ;Fernandes              
18;feminino;Oliveira               
19;feminino;Barros                 
20;masculino  ;Rodrigues              
21;masculino  ;Cardoso                
22;feminino;Costa                  
23;masculino  ;Melo                   
24;feminino;Rocha                  
25;feminino;Sousa                  
26;masculino  ;Azevedo                
27;feminino;Dias                   
28;masculino  ;Almeida                
29;masculino  ;Correia                
30;feminino;Almeida                
31;feminino;Lima                   
32;masculino  ;Castro                 
33;feminino;Araujo                 
34;feminino;Araujo                 
35;feminino;Almeida                
36;feminino;Barros                 
37;feminino;Sousa                  
38;feminino;Oliveira               
39;feminino;Rocha                  
40;masculino  ;Cardoso                
41;masculino  ;Rodrigues              
42;masculino  ;Rodrigues              
43;feminino;Barbosa                
44;feminino;Castro                 
45;masculino  ;Cunha                  
46;feminino;Pereira                
47;feminino;Santos                 
48;masculino  ;Rocha                  
49;masculino  ;Fernandes              
50;feminino;Martins                
51;masculino  ;Barbosa                
52;feminino;Correia                
53;feminino;Souza                  
54;feminino;Ribeiro                
55;masculino  ;Barros                 
56;feminino;Costa                  
57;feminino;Gomes                  
58;masculino  ;Sousa                  
59;feminino;Barros                 
60;masculino  ;Oliveira               
61;feminino;Lima                   
62;feminino;Pereira                
63;feminino;Pinto                  
64;masculino  ;Carvalho               
65;feminino;Gomes                  
66;feminino;Goncalves              
67;feminino;Martins                
68;feminino;Carvalho               
69;feminino;Sousa                  
70;feminino;Fernandes              
71;masculino  ;Dias                   
72;masculino  ;Dias                   
73;masculino  ;Pinto                  
74;masculino  ;Carvalho               
75;masculino  ;Souza                  
76;feminino;Ferreira               
77;feminino;Ferreira               
78;feminino;Fernandes              
